"name"	"taxRank"	"taxID"	"Max"	"C001_FD2_ORC.cladeReads"	"C001_FD2_TZO.cladeReads"	"C001_FD3_ORC.cladeReads"	"C001_FD3_TZO.cladeReads"	"C001_L.3_ORC.cladeReads"	"C001_L.3_TZO.cladeReads"	"C001_L.44_ORC.cladeReads"	"C001_L.44_TZO.cladeReads"	"C001_L.92_ORC.cladeReads"	"C001_L.92_TZO.cladeReads"	"C001_R.1_ORC.cladeReads"	"C001_R.1_TZO.cladeReads"	"C001_R.45_ORC.cladeReads"	"C001_R.45_TZO.cladeReads"	"C001_R.82_ORC.cladeReads"	"C001_R.82_TZO.cladeReads"	"C002_FD2_ORC.cladeReads"	"C002_FD2_TZO.cladeReads"	"C002_FD3_ORC.cladeReads"	"C002_FD3_TZO.cladeReads"	"C002_L.3_ORC.cladeReads"	"C002_L.3_TZO.cladeReads"	"C002_L.44_ORC.cladeReads"	"C002_L.44_TZO.cladeReads"	"C002_L.92_ORC.cladeReads"	"C002_L.92_TZO.cladeReads"	"C002_R.1_ORC.cladeReads"	"C002_R.1_TZO.cladeReads"	"C002_R.45_ORC.cladeReads"	"C002_R.45_TZO.cladeReads"	"C002_R.82_ORC.cladeReads"	"C002_R.82_TZO.cladeReads"	"C003_FD2_ORC.cladeReads"	"C003_FD2_TZO.cladeReads"	"C003_FD3_ORC.cladeReads"	"C003_FD3_TZO.cladeReads"	"C003_L.3_ORC.cladeReads"	"C003_L.3_TZO.cladeReads"	"C003_L.44_ORC.cladeReads"	"C003_L.44_TZO.cladeReads"	"C003_L.92_ORC.cladeReads"	"C003_L.92_TZO.cladeReads"	"C003_R.1_ORC.cladeReads"	"C003_R.45_ORC.cladeReads"	"C003_R.45_TZO.cladeReads"	"C003_R.82_ORC.cladeReads"	"C003_R.82_TZO.cladeReads"	"C004_FD2_ORC.cladeReads"	"C004_FD2_TZO.cladeReads"	"C004_FD3_ORC.cladeReads"	"C004_FD3_TZO.cladeReads"	"C004_L.3_ORC.cladeReads"	"C004_L.3_TZO.cladeReads"	"C004_L.44_ORC.cladeReads"	"C004_L.44_TZO.cladeReads"	"C004_L.92_ORC.cladeReads"	"C004_L.92_TZO.cladeReads"	"C004_R.1_ORC.cladeReads"	"C004_R.1_TZO.cladeReads"	"C004_R.45_ORC.cladeReads"	"C004_R.45_TZO.cladeReads"	"C004_R.82_ORC.cladeReads"	"C004_R.82_TZO.cladeReads"	"lineage"
"Streptococcus thermophilus"	"S"	1308	537670	12705	1047	35214	3112	69902	2554	12864	366	35935	396	31199	492	537667	26293	75690	1467	10145	753	3641	2010	11103	248	6756	7987	13094	1378	5496	5185	3039	351	6245	873	11547	8264	16138	211	12577	4547	23398	605	10669	469	23786	8281	64	67496	712	9345	2308	15014	1836	18663	1221	7041	1009	5803	3696	4327	1064	17207	1663	9779	141	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus koreensis"	"S"	2382163	11042	11042	27	1677	62	1663	42	1582	NA	2781	55	7295	20	547	211	3623	29	76	NA	82	NA	273	134	54	33	41	33	129	79	89	NA	363	30	249	1	169	2	540	69	5765	NA	305	27	8316	6327	3	5036	76	553	NA	208	373	2141	241	3610	89	340	45	143	30	226	79	220	12	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus gwangjuense"	"S"	1433513	50935	10495	27	18702	410	2616	208	1225	10	39727	68	3469	7	16402	456	3170	130	9374	18	17217	225	7401	NA	2572	227	29951	48	10197	159	3865	25	8119	138	10570	24	11519	NA	4134	251	3574	30	8731	71	1761	5495	10	3454	94	50935	443	28272	188	20529	303	27681	117	11164	38	9238	11	11614	344	11542	37	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus toyakuensis"	"S"	2819619	25042	10072	70	16862	164	2328	339	786	27	25042	101	3064	81	19688	559	2264	27	5377	106	10234	479	4504	64	2779	150	8126	72	5568	216	2795	28	9467	55	9157	62	11036	4	5311	71	4466	90	10907	45	1019	5125	8	3500	99	21850	562	13671	397	20267	303	13901	104	8757	32	4494	32	12313	409	10336	29	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus anginosus"	"S"	1328	71766	6129	88	7676	236	3808	230	753	29	4498	120	2448	58	12827	517	1336	67	1731	148	1127	1140	3502	213	3177	831	5281	141	2539	1904	1531	3	5758	92	48652	207	58206	21	71766	37	2884	131	30503	31	8452	34005	35	16571	554	8682	182	6705	534	24496	366	5584	82	3267	75	1514	64	5406	366	8620	39	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;anginosus&nbsp;group"
"Streptococcus constellatus"	"S"	76860	3057	906	26	1565	145	1403	62	203	3	1991	11	530	10	2859	219	373	12	850	12	589	13	1708	1	969	172	2410	40	796	303	470	5	640	38	978	8	1229	2	1321	1	806	4	1397	18	891	1219	2	898	10	1305	113	1797	160	2445	130	870	20	827	84	430	9	3057	156	1096	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;anginosus&nbsp;group"
"Streptococcus intermedius"	"S"	1338	31431	463	17	1459	157	604	72	1579	6	2448	8	3735	21	1487	52	3181	1	163	38	122	174	284	NA	200	49	447	13	202	258	189	1	377	9	2877	46	954	4	10831	NA	8331	41	13232	52	6185	31431	6	11189	167	3726	2	830	99	1675	140	2231	323	769	351	1811	NA	1599	123	3058	19	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;anginosus&nbsp;group"
"Streptococcus agalactiae"	"S"	1311	28534	7511	401	15598	1248	12483	561	2095	121	15669	244	5035	119	28534	2039	2747	160	5525	149	4752	122	12803	47	7459	1385	18712	277	6235	1468	3468	29	4764	182	10894	90	10180	28	11175	30	6239	45	12256	70	5821	8065	31	5400	103	8606	781	17334	1720	19303	1119	6919	366	6480	315	3979	179	25102	1498	7974	45	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus cristatus"	"S"	45634	122120	6968	128	18421	2289	9497	437	8528	91	54330	370	15606	166	6091	664	3485	199	2162	88	2412	537	2703	21	898	728	979	89	5037	99662	1905	55	3258	584	5831	113	1689	11	9012	NA	4636	111	3867	118	20957	28698	20	34802	307	122124	1716	79753	2636	35976	1105	53883	389	4580	529	33473	103	79306	773	44633	97	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus australis"	"S"	113107	45602	5687	61	4011	150	4105	118	11849	50	19059	176	10632	75	11935	388	6630	3	1415	168	2496	1587	2238	54	1132	548	1361	181	2471	643	2255	34	4584	543	11336	116	6336	35	8762	169	7558	153	1958	92	44401	31612	14	45602	347	6565	1621	3472	661	17847	320	10156	426	2819	377	1372	33	2995	373	3364	47	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pyogenes"	"S"	1314	20019	5562	213	13301	811	8185	397	2101	68	9903	151	4936	62	20019	1260	2151	81	3585	68	3023	89	8964	39	4543	958	11742	278	3864	845	2277	47	3785	188	9075	68	7462	2	9048	23	6448	53	9188	50	6033	8233	22	6145	211	6718	653	10836	1516	13445	775	5760	280	4620	393	3076	183	14435	985	8096	57	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus ilei"	"S"	1156431	8619	5336	36	632	25	1184	58	605	NA	2605	30	4466	NA	575	116	2586	14	197	NA	380	137	244	NA	118	27	1035	39	330	30	215	43	662	11	853	18	2344	1	550	158	5795	52	824	19	7585	8619	2	5459	103	1136	435	1103	536	3112	29	2686	163	1251	83	253	NA	496	73	888	32	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus suis"	"S"	1307	11815	5314	167	11219	453	11815	239	1330	57	5940	141	3779	114	8936	612	1512	63	2651	82	2388	82	6612	80	2809	2277	7506	275	3711	415	2398	4	4499	883	3404	89	2714	11	3618	4	5622	98	4354	10	4128	5033	5	4585	74	3682	231	7745	553	6239	224	2991	163	2802	207	1689	78	7713	429	3950	21	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus ratti"	"S"	1341	11403	2084	45	5062	148	3796	149	1596	19	4846	49	1370	20	11403	663	910	28	1147	13	1076	34	3355	1	2646	243	4667	95	539	350	467	9	1049	34	4510	16	2157	3	5887	8	2652	7	868	6	1768	2341	6	1277	19	4232	283	939	575	5786	313	2290	81	2488	174	1176	45	6024	343	3082	12	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus dysgalactiae"	"S"	1334	2839	1001	46	1406	39	1252	64	307	18	1210	36	630	2	1186	103	270	7	552	10	399	6	975	41	600	180	1198	49	587	103	241	3	626	25	966	15	965	NA	1501	4	856	2	1063	26	568	440	1	635	6	1308	141	1808	189	2839	175	713	16	785	14	435	25	1301	78	813	10	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;dysgalactiae&nbsp;group"
"Streptococcus equi"	"S"	1336	2858	718	36	1114	168	1148	89	258	4	1849	13	465	6	2723	211	341	4	613	8	454	14	1512	NA	810	169	2219	18	672	317	296	1	815	23	1357	4	1288	1	1383	NA	643	4	1349	1	872	880	1	567	9	1029	27	1781	177	2858	166	743	61	693	48	432	32	1917	172	562	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus>Streptococcus&nbsp;dysgalactiae&nbsp;group"
"Streptococcus rubneri"	"S"	1234680	345850	1176	18	669	30	496	17	410	NA	1318	6	1408	20	662	84	695	13	73277	NA	3489	54	21495	155	197672	2963	345854	2291	7313	85	8589	NA	1349	36	657	NA	614	NA	1546	132	1848	1	2052	52	6775	16905	NA	15081	129	5113	1233	5132	2155	8575	927	5029	670	361	5	4396	118	18551	170	1260	27	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus iniae"	"S"	1346	3112	899	29	1382	116	1466	40	356	4	1494	27	758	20	3112	204	333	12	490	10	437	11	1484	1	702	175	1710	28	590	110	466	2	446	14	1216	13	992	NA	1143	2	711	4	1243	6	888	1195	1	748	15	855	76	1792	148	1875	122	825	58	670	62	689	10	2002	95	892	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus lactarius"	"S"	684066	12595	745	4	769	55	667	25	258	6	787	7	883	17	739	87	604	1	711	80	407	182	315	NA	261	1820	848	253	3866	390	12595	19	2183	194	145	11	93	NA	93	76	465	NA	97	10	917	748	NA	4540	11	233	2	175	55	351	1	679	63	123	98	69	25	96	19	87	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus didelphis"	"S"	102886	2113	736	1	1645	25	519	15	93	NA	1063	5	465	6	1691	95	81	3	315	3	266	7	578	1	381	47	862	9	341	8	171	1	206	10	815	3	613	NA	826	NA	286	1	2113	11	244	422	NA	275	NA	1177	8	1060	27	1366	25	664	8	512	4	390	4	1376	57	363	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus chenjunshii"	"S"	2173853	2665	673	16	1203	129	852	40	209	2	978	13	534	7	2665	154	179	5	397	6	290	11	1000	2	562	137	1174	15	454	102	257	3	399	36	774	2	671	NA	1033	1	658	3	877	1	468	705	NA	366	5	916	19	1173	139	1489	95	616	22	529	13	284	16	1435	109	422	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus mutans"	"S"	1309	5637	638	24	963	97	770	89	164	7	933	18	518	2	1350	100	178	4	465	40	600	6	856	2	420	5637	1121	169	420	64	1889	132	2048	171	693	1	624	1	1075	82	710	36	716	6	779	324	1	342	5	717	192	1071	143	1497	79	466	12	359	59	296	7	817	71	378	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus vestibularis"	"S"	1343	7613	624	NA	1310	14	866	53	2368	11	6333	44	989	NA	7601	49	2554	4	1013	42	1166	87	1040	51	266	52	1574	NA	831	31	2553	NA	290	38	784	1	1196	NA	574	23	7613	112	3200	31	87	713	1	245	73	7395	61	3175	58	1802	NA	5212	46	1523	1	1986	NA	2485	15	4116	8	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus marmotae"	"S"	1825069	541	539	1	390	32	66	NA	28	NA	220	NA	94	NA	208	4	52	NA	42	NA	30	NA	73	NA	31	16	65	NA	37	61	24	NA	34	18	173	1	96	NA	65	1	47	NA	91	NA	2	33	NA	79	NA	362	NA	137	11	541	1	234	NA	132	NA	67	NA	106	2	103	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pseudoporcinus"	"S"	361101	1196	353	5	651	45	462	40	65	NA	596	2	350	26	1196	53	179	6	242	NA	184	34	481	NA	303	82	686	7	244	76	117	1	273	5	416	3	521	NA	497	NA	362	1	561	NA	360	344	NA	376	11	499	2	588	95	1000	286	287	6	269	69	198	41	843	61	412	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pasteurianus"	"S"	197614	732	349	6	517	40	491	16	231	1	404	27	287	13	452	22	86	1	163	1	113	NA	207	NA	202	38	395	26	153	5	28	NA	166	4	347	NA	323	NA	732	NA	414	NA	391	NA	241	64	NA	317	NA	293	NA	609	16	708	36	198	24	141	NA	143	1	284	11	232	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pluranimalium"	"S"	82348	875	347	5	621	157	309	2	141	14	467	4	370	16	875	40	132	13	202	3	121	NA	282	NA	228	101	358	56	179	26	54	NA	317	17	511	1	248	NA	501	16	154	NA	346	1	221	138	1	246	13	419	6	514	124	734	88	265	33	152	4	157	16	364	22	299	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus ruminicola"	"S"	2686210	693	323	1	405	56	390	18	68	NA	243	NA	178	NA	613	NA	48	NA	253	NA	97	NA	246	1	299	19	316	NA	127	30	16	NA	59	NA	466	NA	228	NA	474	NA	126	NA	346	NA	160	159	NA	178	NA	287	116	358	11	693	76	114	2	92	2	134	NA	222	5	188	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus sobrinus"	"S"	1310	1122	269	8	395	32	391	16	75	2	507	5	359	4	1122	49	121	1	149	1	161	3	428	3	218	68	532	9	172	178	159	NA	154	10	366	5	302	1	429	NA	356	2	362	NA	560	884	NA	407	5	267	17	448	59	487	55	344	11	233	17	223	8	871	52	931	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus troglodytae"	"S"	1111760	965	240	11	344	48	250	17	50	NA	390	4	171	4	965	58	110	4	186	2	115	2	404	1	195	37	503	4	156	35	87	1	138	7	378	NA	359	NA	391	NA	137	NA	380	NA	163	209	NA	166	6	267	9	477	37	620	67	162	10	180	4	94	7	548	40	251	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus ferus"	"S"	1345	1338	233	15	320	43	249	13	82	1	415	NA	198	1	393	32	63	3	170	3	165	3	563	NA	171	40	357	6	262	117	106	1	247	7	155	2	107	NA	107	4	253	1	251	NA	71	133	NA	74	1	487	13	759	57	1338	41	327	18	274	12	136	12	974	90	130	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus parasuis"	"S"	1501662	658	215	9	229	43	372	39	70	13	488	5	163	23	582	49	123	4	205	92	172	73	420	43	204	129	658	178	188	86	105	59	150	114	327	1	312	NA	280	42	189	NA	400	45	156	314	NA	356	9	251	390	326	9	363	22	187	NA	168	3	139	NA	620	20	464	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus equinus"	"S"	1335	387	174	2	194	11	51	9	35	NA	323	1	39	36	387	8	24	6	34	NA	56	NA	27	NA	17	15	30	NA	30	9	8	NA	12	15	214	NA	128	NA	236	NA	22	NA	139	24	17	80	NA	112	3	57	218	64	7	102	42	56	2	26	NA	5	NA	41	3	27	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus merionis"	"S"	400065	3462	173	6	234	20	123	23	37	NA	164	NA	79	NA	127	7	29	NA	107	NA	59	NA	124	NA	113	1	148	NA	107	3462	24	NA	94	2	142	NA	134	NA	178	NA	56	NA	128	NA	72	83	1	40	3	155	NA	178	49	251	20	90	NA	109	1	49	NA	86	6	326	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus himalayensis"	"S"	1888195	767	152	3	380	14	300	9	34	1	428	NA	89	2	528	18	71	1	63	63	24	1	104	1	226	14	632	3	83	415	55	NA	145	1	59	NA	32	NA	41	NA	162	NA	157	NA	139	150	NA	48	NA	440	8	653	18	767	20	338	3	220	3	180	3	709	32	227	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus uberis"	"S"	1349	353	144	4	103	10	157	9	45	NA	222	9	136	NA	242	25	88	NA	74	NA	137	NA	180	26	108	15	234	31	121	25	46	NA	146	11	197	NA	211	NA	148	NA	23	NA	167	NA	200	179	2	139	1	180	NA	274	36	353	NA	135	1	115	61	71	NA	282	25	202	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus gallolyticus"	"S"	315405	217	119	NA	217	20	28	NA	5	NA	166	NA	80	NA	30	NA	11	NA	9	NA	3	1	7	NA	2	2	2	NA	5	NA	7	NA	7	7	26	NA	1	NA	30	NA	25	NA	54	NA	21	4	NA	NA	NA	24	NA	13	1	20	NA	74	NA	13	NA	22	NA	6	NA	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus urinalis"	"S"	149016	336	118	NA	154	4	109	3	27	NA	153	1	81	19	218	8	67	NA	47	NA	59	NA	103	NA	59	19	136	1	59	12	26	NA	96	2	96	NA	87	NA	71	28	73	1	114	NA	52	336	NA	137	3	156	2	116	4	203	2	109	1	91	NA	42	NA	268	9	140	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus pantholopis"	"S"	1811193	433	113	2	234	27	113	12	65	NA	146	3	178	NA	433	17	52	1	44	1	33	2	76	NA	54	19	114	3	58	16	28	NA	63	4	108	13	84	NA	154	NA	90	NA	122	1	72	67	NA	70	2	112	4	137	11	180	7	59	5	52	5	55	1	157	3	52	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus canis"	"S"	1329	4722	95	1	144	6	74	108	5	NA	92	NA	33	5	154	7	27	NA	59	97	55	2	90	NA	47	18	79	NA	33	38	20	NA	436	2	134	NA	163	6	432	NA	224	NA	443	15	4722	1469	3	247	23	481	356	379	1344	1440	249	2714	197	141	1	380	1	573	227	348	90	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus acidominimus"	"S"	1326	144	78	3	82	4	88	19	31	NA	127	2	83	NA	100	5	41	NA	29	NA	46	1	25	NA	5	3	28	2	28	40	35	NA	17	4	58	14	59	NA	40	NA	12	NA	38	NA	30	66	NA	29	NA	49	1	21	NA	144	1	75	NA	106	NA	81	1	110	3	53	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus parauberis"	"S"	1348	241	74	7	20	4	73	1	30	2	98	2	50	NA	77	7	19	3	22	3	24	1	32	2	15	23	23	5	65	13	53	NA	73	8	41	2	71	NA	23	NA	107	NA	35	NA	136	144	1	40	NA	94	1	75	20	160	3	71	1	55	1	29	NA	241	5	41	4	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus oriscaviae"	"S"	2781599	2764	63	NA	19	4	75	14	22	NA	363	3	83	4	109	39	28	NA	97	NA	28	NA	96	NA	98	34	116	1	113	43	78	NA	41	32	52	NA	39	NA	37	74	11	NA	12	NA	63	164	NA	70	7	1765	NA	515	1	2764	26	1923	29	528	32	231	1	371	4	497	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus respiraculi"	"S"	2021971	156	45	NA	19	2	73	NA	10	NA	79	1	43	NA	156	1	13	NA	7	1	33	NA	59	NA	7	12	12	4	50	32	33	1	13	NA	26	1	39	NA	11	NA	50	2	17	NA	34	43	NA	55	NA	45	1	30	NA	35	1	23	3	9	NA	5	NA	31	1	28	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus halotolerans"	"S"	1814128	118	42	NA	18	NA	9	NA	2	NA	14	NA	46	NA	24	2	11	NA	66	NA	118	NA	53	NA	11	1	6	NA	75	25	7	NA	12	NA	3	NA	6	NA	2	NA	3	NA	2	NA	46	11	NA	8	NA	11	1	23	NA	24	1	26	NA	6	1	9	NA	12	NA	5	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus ruminantium"	"S"	1917441	154	40	NA	104	NA	NA	4	19	NA	16	NA	NA	NA	154	2	22	NA	18	NA	22	NA	NA	NA	3	NA	17	NA	8	27	10	NA	23	1	1	NA	6	NA	NA	NA	NA	NA	NA	NA	32	8	NA	1	NA	35	2	31	NA	25	NA	62	NA	24	NA	19	NA	43	3	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus alactolyticus"	"S"	29389	1184	33	9	37	22	36	713	47	7	45	27	72	12	38	2	6	NA	14	9	7	269	11	106	2	34	1	10	10	44	14	NA	11	NA	31	48	127	2	NA	156	35	104	5	152	55	18	NA	1	NA	18	1184	10	21	33	27	23	195	6	120	3	26	7	7	8	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus porcinus"	"S"	1340	353	28	NA	32	1	56	NA	2	NA	353	NA	38	NA	51	2	6	NA	25	1	32	NA	15	NA	8	8	5	3	17	2	10	NA	56	1	86	NA	45	NA	43	NA	31	NA	19	NA	22	36	NA	72	NA	26	2	9	NA	17	NA	40	NA	11	NA	1	1	13	3	22	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus halichoeri"	"S"	254785	300	23	NA	50	NA	60	NA	7	NA	54	NA	21	NA	300	24	33	NA	6	NA	5	NA	8	NA	3	4	71	NA	13	29	7	NA	125	NA	100	1	63	NA	24	NA	4	NA	56	NA	23	66	NA	42	NA	18	1	20	NA	23	2	8	NA	11	1	3	1	33	1	171	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus milleri"	"S"	33040	140	18	NA	59	11	26	21	2	NA	24	NA	5	NA	14	NA	12	NA	5	NA	17	NA	10	NA	2	3	1	NA	13	72	25	NA	16	4	104	NA	34	1	28	NA	55	NA	24	NA	6	43	NA	61	NA	27	140	42	8	22	NA	22	NA	16	1	26	NA	19	NA	35	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus periodonticum"	"S"	2490633	37773	16	NA	49	1	16	NA	3	NA	40	NA	8	3	61	1	9	NA	6	NA	4	NA	16	NA	10	5	28	NA	12	37773	9	NA	122	NA	109	NA	76	NA	58	NA	6	NA	43	NA	39	28	NA	70	NA	10	1	28	1	28	NA	11	1	17	NA	4	NA	27	1	41	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
"Streptococcus lutetiensis"	"S"	150055	228	13	7	2	1	10	143	1	NA	31	16	51	8	31	4	30	NA	7	14	3	NA	2	NA	2	1	1	27	6	4	7	17	59	NA	14	NA	5	1	NA	NA	3	107	3	11	28	39	1	32	NA	2	228	15	NA	7	32	7	14	14	115	17	1	10	2	9	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Bacillota>Bacilli>Lactobacillales>Streptococcaceae>Streptococcus"
