"name"	"taxRank"	"taxID"	"Max"	"C001_FD2.cladeReads"	"C001_FD3.cladeReads"	"C001_L.3.cladeReads"	"C001_L.44.cladeReads"	"C001_L.92.cladeReads"	"C001_R.1.cladeReads"	"C001_R.45.cladeReads"	"C001_R.82.cladeReads"	"C002_FD2.cladeReads"	"C002_FD3.cladeReads"	"C002_L.3.cladeReads"	"C002_L.44.cladeReads"	"C002_L.92.cladeReads"	"C002_R.1.cladeReads"	"C002_R.45.cladeReads"	"C002_R.82.cladeReads"	"C003_FD2.cladeReads"	"C003_FD3.cladeReads"	"C003_L.3.cladeReads"	"C003_L.44.cladeReads"	"C003_L.92.cladeReads"	"C003_R.45.cladeReads"	"C003_R.82.cladeReads"	"C004_FD2.cladeReads"	"C004_FD3.cladeReads"	"C004_L.3.cladeReads"	"C004_L.44.cladeReads"	"C004_L.92.cladeReads"	"C004_R.1.cladeReads"	"C004_R.45.cladeReads"	"C004_R.82.cladeReads"	"lineage"
"Nocardioides sp. Kera G14"	"S"	2884264	29	6	NA	NA	NA	NA	NA	NA	11	16	NA	NA	NA	NA	NA	14	NA	NA	NA	NA	NA	3	1	29	NA	NA	NA	17	NA	NA	7	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. CF8"	"S"	110319	161	5	10	26	42	NA	NA	NA	NA	NA	56	37	21	NA	10	NA	5	NA	NA	123	110	22	NA	3	161	15	114	8	NA	18	16	9	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. WS12"	"S"	2486272	46	4	NA	4	NA	NA	14	NA	13	NA	46	NA	6	26	6	NA	NA	16	2	NA	NA	10	NA	4	NA	NA	10	NA	NA	23	4	12	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. QY071"	"S"	3044187	57	4	NA	18	NA	4	NA	15	NA	NA	NA	22	6	NA	40	NA	6	17	NA	NA	NA	NA	3	12	NA	NA	NA	NA	NA	57	2	8	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. HM61"	"S"	3095076	94	3	NA	26	7	NA	NA	18	NA	NA	26	NA	2	1	3	NA	4	NA	2	NA	35	NA	1	30	58	13	34	29	54	94	4	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides humi"	"S"	449461	143	52	143	39	71	11	17	10	42	2	6	61	39	51	16	99	39	50	42	2	29	35	26	52	9	3	131	70	NA	30	25	28	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides scoriae"	"S"	642780	384	18	170	24	31	55	25	11	65	206	NA	140	70	52	35	49	302	8	3	384	42	61	32	94	258	19	23	136	142	55	61	297	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides coralli"	"S"	2872154	124	13	63	70	1	9	121	5	12	NA	95	124	21	NA	33	15	7	1	NA	NA	78	1	NA	6	75	32	26	NA	NA	122	6	13	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides aquaticus"	"S"	160826	344	13	61	33	67	23	74	253	55	344	250	94	102	19	25	4	302	13	4	215	25	45	22	33	86	36	71	33	56	121	22	217	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides anomalus"	"S"	2712223	373	11	2	138	5	7	30	70	30	NA	168	11	43	28	18	NA	24	NA	3	247	43	11	28	100	336	60	148	32	NA	373	51	15	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides marmotae"	"S"	2663857	133	10	NA	64	18	6	34	1	3	2	NA	59	NA	NA	3	NA	7	3	NA	133	NA	15	11	NA	NA	20	21	5	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides marmorisolisilvae"	"S"	1542737	368	10	NA	38	16	10	NA	20	27	24	97	64	114	43	10	77	46	NA	NA	312	18	43	52	107	368	25	29	152	63	170	102	55	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides cynanchi"	"S"	2558918	270	9	24	105	NA	11	20	9	2	83	51	NA	10	21	29	40	23	4	6	136	65	28	36	71	270	12	24	60	32	98	39	8	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides dongkuii"	"S"	2760089	229	9	NA	NA	NA	NA	NA	2	13	42	NA	31	5	21	NA	15	NA	NA	NA	229	5	NA	NA	11	NA	23	70	NA	NA	1	5	19	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides rotundus"	"S"	1774216	165	6	NA	95	NA	84	NA	41	73	151	165	79	12	1	NA	1	18	NA	1	88	6	60	2	8	144	55	56	46	15	1	5	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides piscis"	"S"	2714938	39	6	1	7	NA	NA	NA	NA	NA	39	NA	36	NA	16	11	NA	NA	NA	NA	7	NA	NA	5	1	NA	20	NA	25	NA	NA	3	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides okcheonensis"	"S"	2894081	401	6	52	38	19	7	11	8	24	38	166	77	6	NA	36	10	34	25	NA	401	310	40	8	55	1	9	73	67	NA	210	24	34	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides seonyuensis"	"S"	2518371	105	5	NA	40	NA	6	NA	3	1	45	24	35	4	56	NA	18	4	NA	NA	105	NA	12	NA	17	50	11	20	NA	89	NA	5	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides ungokensis"	"S"	1643322	114	3	2	21	1	NA	NA	NA	NA	NA	41	48	NA	30	NA	11	NA	4	NA	64	114	NA	2	9	NA	15	2	14	NA	56	14	6	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides panacisoli"	"S"	627624	50	3	23	10	6	9	4	10	20	21	2	10	43	32	6	4	8	4	13	1	8	6	7	21	2	5	21	3	50	13	5	27	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides panacis"	"S"	2849501	183	2	11	102	3	3	12	14	57	14	NA	NA	42	1	20	29	27	NA	2	61	3	30	22	49	NA	44	34	81	183	71	31	25	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides yefusunii"	"S"	2500546	76	1	NA	9	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	64	NA	NA	2	5	76	29	NA	1	2	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides sambongensis"	"S"	2589074	163	1	39	2	1	21	19	1	33	46	8	105	51	96	9	68	37	34	7	98	13	52	5	12	163	21	1	22	79	18	17	5	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Aeromicrobium"	"G"	2040	1176	152	295	649	408	271	221	214	272	549	513	102	359	361	686	317	468	460	310	772	552	378	356	264	1176	396	328	329	545	428	398	570	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae"
"unclassified Aeromicrobium"	"-"	2633570	299	5	9	112	17	NA	1	8	41	27	299	NA	47	17	27	3	21	58	5	268	63	NA	5	14	249	39	40	13	112	21	30	57	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Aeromicrobium"
"Aeromicrobium sp. A1-2"	"S"	2107713	85	5	1	2	NA	NA	NA	1	9	NA	38	NA	36	NA	NA	NA	5	NA	NA	27	NA	NA	2	1	NA	NA	NA	NA	85	14	14	19	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Aeromicrobium>unclassified&nbsp;Aeromicrobium"
"Aeromicrobium wangtongii"	"S"	2969247	36	1	23	36	NA	7	24	1	NA	NA	18	NA	8	NA	NA	NA	19	NA	NA	NA	34	NA	4	NA	NA	10	NA	NA	NA	20	10	15	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Aeromicrobium"
"Friedmanniella><wbr>Friedmanniella luteola"	"S"	546871	811	29	111	101	31	39	102	40	165	75	433	201	339	132	21	341	655	49	19	545	296	87	60	281	811	139	115	205	630	158	72	358	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Friedmanniella"
"Solicola><wbr>Solicola gregarius"	"S"	2908642	223	3	NA	55	7	13	13	2	NA	NA	NA	NA	22	NA	223	17	31	34	1	NA	107	NA	10	33	83	NA	38	1	163	NA	11	31	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Solicola"
"Micropruina><wbr>Micropruina glycogenica"	"S"	75385	626	1	NA	19	NA	NA	NA	5	36	32	194	2	119	61	1	17	432	37	3	187	3	36	13	136	35	14	47	33	52	3	35	626	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Micropruina"
"Kribbellaceae><wbr>Kribbella"	"G"	182639	923	21	20	48	55	43	11	12	26	7	10	923	84	213	21	31	50	15	8	212	42	22	11	31	446	5	49	72	103	84	47	22	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Kribbellaceae"
"Kribbella flavida><wbr>Kribbella flavida DSM 17836"	"-"	479435	98	7	19	4	9	10	4	5	8	4	1	98	9	6	NA	3	6	15	8	3	6	22	3	8	4	5	6	11	NA	13	8	11	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Kribbellaceae>Kribbella>Kribbella&nbsp;flavida"
"unclassified Kribbella"	"-"	2644121	825	7	1	36	38	2	6	5	14	3	6	825	58	161	21	28	37	NA	NA	209	36	NA	1	22	314	NA	43	39	103	40	29	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Kribbellaceae>Kribbella"
"Kribbella sp. NBC_01245"	"S"	2903578	794	6	1	13	2	2	5	3	1	1	4	794	20	18	1	28	21	NA	NA	98	NA	NA	NA	NA	6	NA	5	14	6	3	2	7	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Kribbellaceae>Kribbella>unclassified&nbsp;Kribbella"
"Kribbella sp. NBC_00482"	"S"	2975968	26	1	NA	6	26	NA	NA	NA	5	NA	NA	NA	22	NA	14	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Kribbellaceae>Kribbella>unclassified&nbsp;Kribbella"
"Mycobacteriales"	"O"	85007	20272000	4941301	2807452	3101842	4146758	1351445	3010452	3262239	8134641	414186	444265	20272113	474029	595584	167107	685519	1540039	429460	83955	531358	255131	151882	96410	418059	1056347	1530742	1598298	1979721	1486007	1139183	1336779	1021122	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes"
"Corynebacteriaceae><wbr>Corynebacterium"	"G"	1716	19948000	4657917	2404376	2651270	3749619	1138542	2061721	2828491	7239518	294160	382372	19947906	421757	519361	151020	630396	1453683	159858	65156	393276	166857	124298	84244	355638	557815	1203466	781469	1455713	1306831	848676	995839	806467	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae"
"Corynebacterium kefirresidentii"	"S"	1979527	1528700	752576	429556	414877	741493	188186	372853	547643	1528676	13857	5004	16713	977	686	304	630	197	8020	3072	18954	8907	3890	7197	37232	56719	197083	136860	265697	212212	102932	226678	181640	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium tuberculostearicum"	"S"	38304	344390	287695	139829	161554	59553	21738	68020	78674	344389	25134	56247	202927	6296	13342	16655	10351	1555	8586	1795	78203	29997	10173	2325	5247	59059	42711	23224	33805	43684	25323	15096	15806	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium accolens"	"S"	38284	99934	40447	26041	40045	52582	5326	76716	99934	58896	2310	3660	2277	365	546	1583	206	172	2583	451	2770	3755	2580	748	7570	3974	1912	703	1138	1374	451	286	179	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium urealyticum"	"S"	43771	76835	22623	45292	45905	35759	44031	28781	24485	40190	28275	28050	587	14306	17166	4788	29795	31072	59507	41968	401	36837	53352	36687	76835	18301	42124	28888	27871	10336	57117	26871	49380	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium urealyticum DSM 7111"	"-"	1267754	12	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium>Corynebacterium&nbsp;urealyticum"
"Corynebacterium genitalium><wbr>Corynebacterium genitalium ATCC 33030"	"-"	585529	11313	11313	8488	7886	7213	2598	4764	9774	10729	506	188	9620	100	113	26	29	82	103	5	7	163	63	3	87	NA	115	74	113	134	47	10	29	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium>Corynebacterium&nbsp;genitalium"
"Corynebacterium massiliense><wbr>Corynebacterium massiliense DSM 45435"	"-"	1121364	2500	2500	1403	352	279	443	1431	460	902	152	721	2106	175	26	1477	87	88	109	21	1897	94	37	14	102	345	330	168	188	58	101	125	123	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium>Corynebacterium&nbsp;massiliense"
"Corynebacterium simulans"	"S"	146827	2253	1732	900	720	761	306	2088	715	1752	463	2253	1945	747	868	80	469	821	50	84	129	72	35	13	61	227	1110	106	543	538	743	413	139	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium durum"	"S"	61592	108320	1706	50705	4649	1253	1433	5870	5493	1361	7050	27225	2309	108317	902	1456	3170	16808	2540	108	219	808	611	219	4792	6034	11684	2681	1498	335	1685	1443	252	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium singulare"	"S"	161899	1574	1574	818	189	91	185	664	187	453	180	115	584	144	49	11	29	14	74	8	87	NA	21	1	9	433	651	197	1478	541	324	76	142	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium pseudotuberculosis"	"S"	1719	4090	1186	606	616	515	207	384	209	552	87	4	4090	31	3	13	34	58	8	15	4	NA	1	1	50	8	456	228	296	100	195	72	58	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium ulcerans"	"S"	65058	2951	957	495	521	615	152	328	442	639	33	52	2951	183	48	490	49	71	23	30	57	30	36	24	33	64	214	166	296	148	150	192	82	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium macginleyi"	"S"	38290	46450	886	1043	779	2128	209	2853	1649	502	149	1419	46450	80	27	54	39	36	124	21	553	118	144	28	94	442	258	84	234	217	65	62	32	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium gottingense"	"S"	2041036	1280	711	539	156	34	22	737	130	937	112	278	390	55	104	8	28	11	NA	4	233	NA	101	3	20	608	375	121	1280	557	227	106	162	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"unclassified Corynebacterium"	"-"	2624378	311540	703	1260	985	589	947	736	316	595	718	1626	311540	598	3976	445	211	278	245	57	1661	425	593	121	296	1562	744	1284	2341	671	4031	290	514	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium sp. BD556"	"S"	3062461	584	185	104	44	NA	NA	203	31	200	NA	NA	584	14	NA	NA	NA	NA	NA	2	2	NA	NA	NA	5	NA	64	25	151	43	NA	37	26	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium>unclassified&nbsp;Corynebacterium"
"Corynebacterium sp. sy039"	"S"	2599641	1115	129	666	139	45	5	123	63	35	42	451	1115	12	27	316	21	18	15	NA	NA	1	1	1	11	NA	57	NA	27	22	16	4	8	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium>unclassified&nbsp;Corynebacterium"
"Corynebacterium sp. ATCC 6931"	"S"	1487956	121	121	89	100	88	NA	45	4	99	NA	NA	106	5	12	NA	31	12	NA	1	NA	NA	NA	NA	NA	NA	36	71	67	NA	27	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium>unclassified&nbsp;Corynebacterium"
"Corynebacterium sp. FDAARGOS 1242"	"S"	2778078	802	51	78	40	38	18	81	9	38	1	198	4	190	19	12	31	17	8	NA	2	NA	32	2	1	246	15	802	788	135	161	44	59	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium>unclassified&nbsp;Corynebacterium"
"Corynebacterium sp. SCR221107"	"S"	3017361	3181	20	48	173	264	96	144	87	91	33	98	77	23	3181	14	20	39	37	11	142	218	404	22	47	334	53	25	15	220	36	25	30	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium>unclassified&nbsp;Corynebacterium"
"Corynebacterium sp. P8-C1"	"S"	3059082	448	18	45	18	17	6	8	12	44	NA	NA	448	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	4	16	22	5	8	188	11	11	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium>unclassified&nbsp;Corynebacterium"
"Corynebacterium sp. UMB2355A"	"S"	3081222	259	8	NA	16	16	2	NA	11	NA	225	93	259	41	89	8	NA	10	33	5	131	NA	30	41	53	NA	58	24	NA	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium>unclassified&nbsp;Corynebacterium"
"Corynebacterium sp. CNCTC7651"	"S"	2815361	251	8	5	5	12	3	1	3	7	6	4	251	30	18	3	23	34	NA	NA	2	2	NA	2	NA	2	3	1	6	2	7	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium>unclassified&nbsp;Corynebacterium"
"Corynebacterium sp. Z-1"	"S"	3074378	572	7	9	223	11	39	19	1	5	2	147	38	59	2	22	21	8	10	NA	19	40	71	NA	12	572	16	NA	130	182	1	14	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium>unclassified&nbsp;Corynebacterium"
"Corynebacterium sp. NML98-0116"	"S"	702967	232	5	NA	8	11	NA	5	NA	NA	172	140	28	61	232	4	5	12	30	2	83	NA	NA	1	10	68	26	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium>unclassified&nbsp;Corynebacterium"
"Corynebacterium glucuronolyticum"	"S"	39791	12559	665	830	690	124	237	1548	922	1908	393	12559	153	112	135	92	134	325	124	223	905	31	21	9	67	504	73	62	182	43	27	17	14	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium felinum"	"S"	131318	1072	664	261	231	296	64	156	400	1072	16	16	56	12	18	25	1	1	1	2	31	4	2	12	19	25	100	70	250	144	85	404	83	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium glutamicum"	"S"	1718	2034	655	551	981	547	337	471	186	485	355	214	2034	162	103	51	117	207	283	197	117	175	261	167	278	367	262	208	352	307	241	152	261	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium glutamicum ATCC 13032"	"-"	196627	125	125	46	105	52	32	13	3	11	NA	NA	NA	NA	NA	6	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	18	35	13	29	18	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium>Corynebacterium&nbsp;glutamicum"
"Corynebacterium glutamicum SCgG2"	"-"	1232383	196	66	38	41	40	26	27	43	35	7	8	196	23	9	4	32	30	16	27	5	13	23	23	11	10	15	8	34	15	17	30	18	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium>Corynebacterium&nbsp;glutamicum"
"Corynebacterium glutamicum ATCC 14067"	"-"	1079988	32	12	20	NA	NA	NA	NA	NA	19	NA	NA	32	11	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium>Corynebacterium&nbsp;glutamicum"
"Corynebacterium glutamicum R"	"-"	340322	31	6	2	21	NA	25	NA	1	NA	NA	NA	31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium>Corynebacterium&nbsp;glutamicum"
"Corynebacterium matruchotii"	"S"	43768	79658	635	13706	2312	902	655	1431	4446	1526	4172	8677	1709	79658	263	416	1080	40583	341	4	743	181	293	43	1283	1654	1916	783	3788	4229	148	159	869	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium diphtheriae"	"S"	1717	2591	612	459	560	575	220	369	211	434	163	207	2591	123	191	78	83	81	430	167	417	151	226	89	89	157	248	288	247	353	411	128	117	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium diphtheriae NCTC 13129"	"-"	257309	1283	285	180	240	231	113	189	142	153	61	28	1283	46	71	24	40	16	144	71	18	71	69	50	49	72	137	109	101	135	126	74	28	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium>Corynebacterium&nbsp;diphtheriae"
"Corynebacterium diphtheriae bv. mitis"	"-"	1806053	228	46	39	27	36	54	26	16	52	15	60	228	26	22	7	22	46	33	37	2	11	22	17	24	2	2	12	8	51	53	16	39	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium>Corynebacterium&nbsp;diphtheriae"
