"","species","genus","family","order","class","phylum","superkingdom","no rank"
"192","Serratia odorifera","Serratia","Yersiniaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"193","Shigella boydii","Shigella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"194","Shigella dysenteriae","Shigella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"195","Shigella flexneri","Shigella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"196","Shigella sonnei","Shigella","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"197","Xenorhabdus nematophila","Xenorhabdus","Morganellaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"198","Yersinia enterocolitica","Yersinia","Yersiniaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"199","Yersinia intermedia","Yersinia","Yersiniaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"200","Yersinia pestis","Yersinia","Yersiniaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"201","Yersinia pseudotuberculosis","Yersinia","Yersiniaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"202","Yersinia bercovieri","Yersinia","Yersiniaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"203","Edwardsiella tarda","Edwardsiella","Hafniaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"204","Arsenophonus nasoniae","Arsenophonus","Morganellaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"205","Aeromonas hydrophila","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"206","Aeromonas salmonicida","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"207","Aeromonas sobria","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"208","Aeromonas sp.","unclassified Aeromonas","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"209","Aeromonas caviae","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"210","Aeromonas jandaei","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"211","Aeromonas media","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"212","Aeromonas schubertii","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"213","Aeromonas veronii","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"214","Aeromonas allosaccharophila","Aeromonas","Aeromonadaceae","Aeromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"215","Photobacterium phosphoreum","Photobacterium","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"216","Photobacterium angustum","Photobacterium","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"217","Vibrio alginolyticus","Vibrio","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"218","Vibrio cholerae","Vibrio","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"219","Aliivibrio fischeri","Aliivibrio","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"220","Vibrio harveyi","Vibrio","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"221","Vibrio parahaemolyticus","Vibrio","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"222","Vibrio vulnificus","Vibrio","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"223","Grimontia hollisae","Grimontia","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"224","Vibrio mimicus","Vibrio","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"225","Vibrio cincinnatiensis","Vibrio","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"226","Vibrio fluvialis","Vibrio","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"227","Vibrio sp.","unclassified Vibrio","Vibrio","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"228","Vibrio campbellii","Vibrio","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"229","Vibrio diazotrophicus","Vibrio","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"230","Vibrio gazogenes","Vibrio","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"231","Vibrio mediterranei","Vibrio","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"232","Vibrio natriegens","Vibrio","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"233","Plesiomonas shigelloides","Plesiomonas","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"234","Aggregatibacter actinomycetemcomitans","Aggregatibacter","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"235","Actinobacillus pleuropneumoniae","Actinobacillus","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"236","Actinobacillus suis","Actinobacillus","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"237","Actinobacillus equuli","Actinobacillus","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"238","Actinobacillus lignieresii","Actinobacillus","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"239","Haemophilus haemolyticus","Haemophilus","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"240","Haemophilus influenzae","Haemophilus","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"241","Avibacterium paragallinarum","Avibacterium","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"242","Haemophilus parainfluenzae","Haemophilus","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"243","[Haemophilus] ducreyi","Haemophilus","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"244","Histophilus somni","Histophilus","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"245","Aggregatibacter aphrophilus","Aggregatibacter","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"246","Haemophilus parahaemolyticus","Haemophilus","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"247","Glaesserella parasuis","Glaesserella","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"248","Aggregatibacter segnis","Aggregatibacter","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"249","Pasteurella multocida","Pasteurella","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"250","[Pasteurella] aerogenes","0","Pasteurellaceae incertae sedis","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria"
"251","Gallibacterium anatis","Gallibacterium","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"252","Pasteurella canis","Pasteurella","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"253","Pasteurella dagmatis","Pasteurella","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"254","Pasteurella stomatis","Pasteurella","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"255","Avibacterium volantium","Avibacterium","Pasteurellaceae","Pasteurellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"256","Anaplasma centrale","Anaplasma","Anaplasmataceae","Rickettsiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"257","Anaplasma marginale","Anaplasma","Anaplasmataceae","Rickettsiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"258","Bartonella bacilliformis","Bartonella","Bartonellaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"259","Coxiella burnetii","Coxiella","Coxiellaceae","Legionellales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"260","Ehrlichia ruminantium","Ehrlichia","Anaplasmataceae","Rickettsiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"261","Orientia tsutsugamushi","Orientia","Rickettsiaceae","Rickettsiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"262","Bartonella quintana","Bartonella","Bartonellaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"263","Bartonella elizabethae","Bartonella","Bartonellaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"264","Campylobacter gracilis","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"265","Sebaldella termitidis","Sebaldella","Leptotrichiaceae","Fusobacteriales","Fusobacteriia","Fusobacteriota","Bacteria","cellular organisms"
"266","Campylobacter ureolyticus","Campylobacter","Campylobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"267","Butyrivibrio fibrisolvens","Butyrivibrio","Lachnospiraceae","Lachnospirales","Clostridia","Bacillota","Bacteria","cellular organisms"
"268","Fibrobacter succinogenes","Fibrobacter","Fibrobacteraceae","Fibrobacterales","Fibrobacteria","Fibrobacterota","Bacteria","cellular organisms"
"269","Wolinella succinogenes","Wolinella","Helicobacteraceae","Campylobacterales","Epsilonproteobacteria","Campylobacterota","Bacteria","cellular organisms"
"270","Oxalobacter formigenes","Oxalobacter","Oxalobacteraceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"271","Fusobacterium gonidiaformans","Fusobacterium","Fusobacteriaceae","Fusobacteriales","Fusobacteriia","Fusobacteriota","Bacteria","cellular organisms"
"272","Fusobacterium mortiferum","Fusobacterium","Fusobacteriaceae","Fusobacteriales","Fusobacteriia","Fusobacteriota","Bacteria","cellular organisms"
"273","Fusobacterium nucleatum","Fusobacterium","Fusobacteriaceae","Fusobacteriales","Fusobacteriia","Fusobacteriota","Bacteria","cellular organisms"
"274","Faecalibacterium prausnitzii","Faecalibacterium","Oscillospiraceae","Eubacteriales","Clostridia","Bacillota","Bacteria","cellular organisms"
"275","Fusobacterium varium","Fusobacterium","Fusobacteriaceae","Fusobacteriales","Fusobacteriia","Fusobacteriota","Bacteria","cellular organisms"
"276","Fusobacterium necrophorum","Fusobacterium","Fusobacteriaceae","Fusobacteriales","Fusobacteriia","Fusobacteriota","Bacteria","cellular organisms"
"277","Fusobacterium periodonticum","Fusobacterium","Fusobacteriaceae","Fusobacteriales","Fusobacteriia","Fusobacteriota","Bacteria","cellular organisms"
"278","Fusobacterium ulcerans","Fusobacterium","Fusobacteriaceae","Fusobacteriales","Fusobacteriia","Fusobacteriota","Bacteria","cellular organisms"
"279","Syntrophomonas wolfei","Syntrophomonas","Syntrophomonadaceae","Eubacteriales","Clostridia","Bacillota","Bacteria","cellular organisms"
"280","Pectinatus frisingensis","Pectinatus","Selenomonadaceae","Selenomonadales","Negativicutes","Bacillota","Bacteria","cellular organisms"
"281","Dichelobacter nodosus","Dichelobacter","Cardiobacteriaceae","Cardiobacteriales","Gammaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"282","Desulfocurvibacter africanus","Desulfocurvibacter","Desulfovibrionaceae","Desulfovibrionales","Desulfovibrionia","Thermodesulfobacteriota","Bacteria","cellular organisms"
"283","Desulfovibrio desulfuricans","Desulfovibrio","Desulfovibrionaceae","Desulfovibrionales","Desulfovibrionia","Thermodesulfobacteriota","Bacteria","cellular organisms"
"284","Megalodesulfovibrio gigas","Megalodesulfovibrio","Desulfovibrionaceae","Desulfovibrionales","Desulfovibrionia","Thermodesulfobacteriota","Bacteria","cellular organisms"
"285","Maridesulfovibrio salexigens","Maridesulfovibrio","Desulfovibrionaceae","Desulfovibrionales","Desulfovibrionia","Thermodesulfobacteriota","Bacteria","cellular organisms"
"286","Nitratidesulfovibrio vulgaris","Nitratidesulfovibrio","Desulfovibrionaceae","Desulfovibrionales","Desulfovibrionia","Thermodesulfobacteriota","Bacteria","cellular organisms"
"287","Desulfuromonas acetoxidans","Desulfuromonas","Desulfuromonadaceae","Desulfuromonadales","Desulfuromonadia","Thermodesulfobacteriota","Bacteria","cellular organisms"
"288","Desulfobulbus propionicus","Desulfobulbus","Desulfobulbaceae","Desulfobulbales","Desulfobulbia","Thermodesulfobacteriota","Bacteria","cellular organisms"
"289","Desulfococcus multivorans","Desulfococcus","Desulfococcaceae","Desulfobacterales","Desulfobacteria","Thermodesulfobacteriota","Bacteria","cellular organisms"
"290","Desulfomicrobium baculatum","Desulfomicrobium","Desulfomicrobiaceae","Desulfovibrionales","Desulfovibrionia","Thermodesulfobacteriota","Bacteria","cellular organisms"
"291","Desulfovibrio piger","Desulfovibrio","Desulfovibrionaceae","Desulfovibrionales","Desulfovibrionia","Thermodesulfobacteriota","Bacteria","cellular organisms"
"292","Acidaminococcus fermentans","Acidaminococcus","Acidaminococcaceae","Acidaminococcales","Negativicutes","Bacillota","Bacteria","cellular organisms"
"293","Megasphaera elsdenii","Megasphaera","Veillonellaceae","Veillonellales","Negativicutes","Bacillota","Bacteria","cellular organisms"
"294","Nitrobacter hamburgensis","Nitrobacter","Nitrobacteraceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"295","Nitrobacter winogradskyi","Nitrobacter","Nitrobacteraceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"296","Nitrosomonas europaea","Nitrosomonas","Nitrosomonadaceae","Nitrosomonadales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"297","Nitrosomonas eutropha","Nitrosomonas","Nitrosomonadaceae","Nitrosomonadales","Betaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"298","Acidithiobacillus ferrooxidans","Acidithiobacillus","Acidithiobacillaceae","Acidithiobacillales","Acidithiobacillia","Pseudomonadota","Bacteria","cellular organisms"
"299","Ancylobacter novellus","Ancylobacter","Xanthobacteraceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","cellular organisms"
"300","Thiobacillus sp.","unclassified Thiobacillus","Thiobacillus","Thiobacillaceae","Nitrosomonadales","Betaproteobacteria","Pseudomonadota","Bacteria"
"301","Thiomonas intermedia","Thiomonas","0","Burkholderiales genera incertae sedis","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria"
