"name"	"taxRank"	"taxID"	"Max"	"C001_FD2_TZO.cladeReads"	"C001_FD3_TZO.cladeReads"	"C001_L.3_TZO.cladeReads"	"C001_L.44_TZO.cladeReads"	"C001_L.92_TZO.cladeReads"	"C001_R.1_TZO.cladeReads"	"C001_R.45_TZO.cladeReads"	"C001_R.82_TZO.cladeReads"	"C002_FD2_TZO.cladeReads"	"C002_FD3_TZO.cladeReads"	"C002_L.3_TZO.cladeReads"	"C002_L.44_TZO.cladeReads"	"C002_L.44.cladeReads"	"C002_L.92_TZO.cladeReads"	"C002_L.92.cladeReads"	"C002_R.1_TZO.cladeReads"	"C002_R.45_TZO.cladeReads"	"C002_R.45.cladeReads"	"C002_R.82_TZO.cladeReads"	"C002_R.82.cladeReads"	"C003_FD2_TZO.cladeReads"	"C003_FD3_TZO.cladeReads"	"C003_L.3_TZO.cladeReads"	"C003_L.44_TZO.cladeReads"	"C003_L.92_TZO.cladeReads"	"C003_R.1_TZO.cladeReads"	"C003_R.45_TZO.cladeReads"	"C003_R.82_TZO.cladeReads"	"C004_FD2_TZO.cladeReads"	"C004_FD3_TZO.cladeReads"	"C004_L.3_TZO.cladeReads"	"C004_L.44_TZO.cladeReads"	"C004_L.44.cladeReads"	"C004_L.92_TZO.cladeReads"	"C004_L.92.cladeReads"	"C004_R.1_TZO.cladeReads"	"C004_R.45_TZO.cladeReads"	"C004_R.45.cladeReads"	"C004_R.82_TZO.cladeReads"	"C004_R.82.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_FD2_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_FD3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_L.3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_L.44_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_L.92_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_R.1_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_R.45_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C001_R.82_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_FD2_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_FD3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_L.3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_L.44_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_L.92_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_R.1_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_R.45_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C002_R.82_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_FD2_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_FD3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_L.3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_L.44_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_L.92_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_R.1_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_R.45_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C003_R.82_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_FD2_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_FD3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_L.3_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_L.44_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_L.92_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_R.1_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_R.45_ORC.cladeReads"	"GLDS.564_metagenomics_metaG_I4_C004_R.82_ORC.cladeReads"	"lineage"
"Nocardioides sp. HDW12B"	"S"	2714939	408	2	NA	7	1	4	1	4	1	NA	2	408	1	4	NA	3	4	NA	3	NA	NA	1	NA	23	4	4	NA	NA	NA	2	4	17	5	8	72	3	1	10	6	NA	2	3	NA	NA	NA	2	NA	4	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	2	NA	NA	2	NA	NA	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. zg-1228"	"S"	2763008	300	2	2	37	3	6	3	16	1	2	10	300	NA	NA	NA	NA	3	2	NA	NA	NA	1	NA	25	3	5	2	6	NA	2	2	26	20	NA	142	NA	6	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	5	NA	NA	4	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. Arc9.136"	"S"	2996826	575	2	5	6	5	2	NA	6	NA	2	2	575	NA	NA	1	NA	NA	NA	NA	NA	NA	3	NA	5	6	2	NA	1	NA	1	6	23	11	NA	30	NA	2	14	NA	NA	NA	3	NA	NA	1	NA	NA	NA	NA	NA	2	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. JS614"	"S"	196162	556	1	1	17	2	3	1	4	3	NA	1	556	NA	NA	NA	NA	1	2	NA	NA	NA	NA	NA	27	NA	2	2	6	NA	1	1	16	11	NA	41	NA	2	4	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. S-34"	"S"	3095075	446	1	2	38	11	5	2	12	NA	3	7	446	NA	NA	NA	NA	2	2	NA	NA	NA	NA	NA	25	3	5	NA	3	NA	1	3	25	29	NA	115	NA	7	19	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	5	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. dk884"	"S"	2662361	644	1	NA	7	NA	NA	NA	2	NA	NA	1	644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	2	NA	NA	NA	1	1	NA	13	NA	NA	7	NA	NA	NA	NA	NA	NA	1	2	NA	NA	NA	NA	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides sp. cx-173"	"S"	2898796	707	1	1	10	1	1	2	2	NA	NA	5	707	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	14	1	NA	NA	4	NA	1	9	6	10	NA	26	NA	2	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides>unclassified&nbsp;Nocardioides"
"Nocardioides mesophilus"	"S"	433659	259	5	2	14	NA	2	1	5	NA	NA	1	259	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	2	1	NA	3	NA	3	6	7	2	NA	30	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	3	NA	NA	3	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides cynanchi"	"S"	2558918	81	5	NA	13	NA	4	1	1	NA	NA	3	81	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	16	6	NA	NA	8	NA	2	2	9	4	NA	34	NA	NA	5	NA	NA	NA	8	NA	NA	NA	1	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides aquaticus"	"S"	160826	562	4	1	6	2	6	4	53	NA	NA	40	562	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	1	13	3	1	NA	19	NA	1	2	17	6	NA	232	NA	1	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides scoriae"	"S"	642780	1171	4	NA	18	1	3	1	15	NA	1	12	1171	NA	NA	NA	NA	1	NA	NA	NA	NA	2	1	32	2	19	NA	17	NA	7	2	26	9	NA	127	NA	2	14	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides anomalus"	"S"	2712223	552	3	2	35	6	NA	2	29	1	NA	3	552	NA	3	NA	NA	3	NA	NA	NA	1	NA	NA	18	5	3	NA	13	NA	NA	NA	34	7	8	46	8	7	9	17	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	2	3	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides seonyuensis"	"S"	2518371	484	3	1	5	NA	5	NA	5	NA	NA	1	484	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	3	3	4	NA	1	NA	2	1	8	5	NA	48	NA	1	2	1	2	NA	NA	NA	1	NA	1	NA	3	NA	NA	NA	NA	NA	16	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides euryhalodurans"	"S"	2518370	555	3	3	15	NA	1	3	13	NA	NA	1	555	NA	NA	NA	NA	4	NA	NA	NA	NA	1	NA	48	1	5	4	2	1	1	NA	21	7	NA	53	NA	4	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides daphniae"	"S"	402297	410	2	NA	4	2	3	NA	5	1	NA	1	410	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	1	1	1	NA	NA	1	NA	1	NA	18	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	2	NA	NA	NA	NA	1	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides marinisabuli"	"S"	419476	104	2	NA	8	NA	3	1	5	NA	NA	4	104	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	19	NA	NA	NA	2	NA	NA	1	19	4	NA	56	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides panacisoli"	"S"	627624	602	2	NA	5	NA	2	NA	4	NA	NA	2	602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	1	1	24	6	NA	35	NA	NA	4	NA	4	NA	1	NA	NA	NA	NA	NA	1	NA	NA	2	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides marmotae"	"S"	2663857	526	1	NA	8	NA	NA	1	2	NA	NA	NA	526	NA	NA	NA	NA	3	NA	NA	NA	1	NA	NA	6	NA	NA	1	2	NA	2	1	3	2	NA	19	NA	NA	5	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides campestrisoli"	"S"	2736757	939	1	1	2	NA	NA	NA	1	NA	NA	1	939	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	2	1	1	NA	3	NA	NA	1	5	2	NA	15	NA	1	6	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides dongkuii"	"S"	2760089	86	1	1	16	1	NA	2	8	1	1	1	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	7	NA	3	NA	NA	NA	2	3	7	7	NA	86	1	NA	8	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides baekrokdamisoli"	"S"	1804624	444	1	1	NA	NA	NA	NA	1	NA	NA	1	444	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	3	8	1	NA	1	NA	NA	NA	1	1	NA	2	NA	NA	NA	NA	NA	NA	2	NA	2	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides rotundus"	"S"	1774216	633	1	4	59	19	233	9	182	NA	6	2	633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	46	4	NA	NA	NA	NA	NA	6	18	12	NA	31	NA	2	3	1	NA	NA	NA	1	1	NA	NA	NA	1	NA	NA	1	NA	NA	2	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides marmorisolisilvae"	"S"	1542737	73	1	NA	4	NA	NA	NA	4	NA	2	NA	73	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	6	1	1	NA	NA	NA	NA	NA	4	2	NA	23	NA	1	5	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Nocardioides humi"	"S"	449461	254	1	1	12	NA	3	NA	6	1	1	2	254	NA	NA	NA	1	2	NA	NA	NA	NA	NA	NA	8	NA	1	NA	1	NA	NA	1	7	1	NA	30	1	5	3	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Nocardioides"
"Aeromicrobium chenweiae"	"S"	2079793	427	12	5	11	4	5	1	NA	NA	NA	NA	427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	2	NA	NA	NA	3	18	28	30	NA	162	NA	10	15	NA	2	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Aeromicrobium"
"Aeromicrobium sp. Leaf245"	"S"	1736306	52	3	1	12	8	2	3	4	NA	1	6	52	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	1	NA	9	2	21	7	NA	39	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Aeromicrobium>unclassified&nbsp;Aeromicrobium"
"Aeromicrobium sp. A1-2"	"S"	2107713	321	1	2	4	1	1	NA	1	NA	NA	NA	321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	3	1	NA	14	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Aeromicrobium>unclassified&nbsp;Aeromicrobium"
"Aeromicrobium sp. HA"	"S"	3009077	239	1	NA	7	1	5	NA	2	1	NA	NA	239	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	38	NA	NA	NA	NA	1	1	2	13	3	NA	18	NA	NA	1	NA	1	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Aeromicrobium>unclassified&nbsp;Aeromicrobium"
"Aeromicrobium erythreum"	"S"	2041	83	3	NA	6	NA	NA	NA	NA	NA	2	NA	26	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	4	NA	NA	NA	1	NA	2	4	14	26	NA	83	NA	1	4	NA	NA	NA	2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Aeromicrobium"
"Aeromicrobium wangtongii"	"S"	2969247	294	1	3	1	1	7	1	2	3	NA	2	294	NA	NA	NA	NA	NA	1	NA	NA	NA	4	NA	5	1	1	NA	NA	NA	3	16	11	7	NA	111	NA	7	6	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Aeromicrobium"
"Friedmanniella luteola"	"S"	546871	774	5	3	14	2	7	2	7	1	2	13	774	1	NA	1	1	NA	2	NA	1	NA	NA	2	11	4	NA	1	7	1	2	5	16	33	NA	269	NA	2	10	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Friedmanniella"
"Solicola gregarius"	"S"	2908642	547	1	NA	4	3	NA	NA	1	NA	NA	1	547	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	1	11	22	21	NA	87	NA	6	10	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	1	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Propionibacteriales>Nocardioidaceae>Solicola"
"Corynebacterium kefirresidentii"	"S"	1979527	2028900	736083	235793	396035	670154	414737	175828	252065	255133	2070	9165	27220	11	NA	19	NA	253	16	NA	8	NA	6217	5812	75576	7019	3962	980	5684	2017	28862	190012	188411	565525	NA	2028859	NA	52441	83856	NA	20791	NA	4009	1219	477	19	201	346	72	169	123	5	1	6	42	2	5	NA	29	122	11	163	15	438	9	14	30	562	60	21	6	140	12	37	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium tuberculostearicum"	"S"	38304	935990	298235	107534	155503	71667	55025	48530	52248	72506	1743	111642	935990	46	NA	101	NA	5341	215	NA	104	2	2356	2777	146117	3239	2100	1053	1945	478	6640	47460	27623	100648	NA	444347	NA	21301	12621	3	3384	NA	668	184	107	4	41	64	37	11	180	32	NA	2	83	31	3	1	22	62	9	48	64	61	10	20	20	525	15	11	5	119	8	90	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium accolens"	"S"	38284	54191	12343	16219	25280	32615	12457	27184	54191	9426	374	1236	47637	1	NA	17	1	20	9	3	1	NA	2452	1359	1997	2282	4926	1703	561	515	360	2254	1553	3321	6	13167	NA	453	509	9	158	5	100	20	85	6	30	27	15	5	32	4	1	1	25	NA	1	3	5	11	1	67	11	2	4	7	NA	17	3	1	NA	2	1	3	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium pseudokroppenstedtii"	"S"	2804917	8597	4448	1083	2275	3183	2061	888	856	1529	3553	8597	1229	618	NA	4219	NA	880	6788	NA	4938	NA	133	32	359	54	102	92	18	16	185	233	1025	471	NA	2624	NA	89	62	NA	17	NA	13	16	3	NA	2	1	1	1	3	NA	NA	NA	2	NA	NA	NA	NA	5	2	1	NA	5	1	NA	NA	NA	NA	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium simulans"	"S"	146827	6236	2230	2356	854	1081	700	1720	622	792	155	3653	6236	13	NA	73	NA	16	94	NA	77	16	36	97	709	19	17	18	20	11	142	1755	514	1731	NA	4923	NA	572	143	NA	50	NA	13	2	8	NA	2	NA	NA	1	10	NA	NA	NA	5	NA	NA	NA	2	2	NA	2	NA	NA	1	NA	NA	6	1	1	1	3	2	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium diphtheriae"	"S"	1717	27561	2212	931	1174	2071	1330	627	694	771	15	204	12687	NA	1	8	NA	7	4	NA	6	1	73	53	582	94	37	6	54	28	349	2206	1999	6989	NA	27561	NA	767	1053	NA	272	NA	7	9	8	NA	3	2	NA	NA	2	NA	NA	NA	1	2	NA	NA	2	1	2	3	1	2	2	NA	NA	5	1	NA	NA	1	NA	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium striatum"	"S"	43770	17477	1771	933	827	1211	705	495	496	433	24	608	11538	1	NA	7	2	18	6	NA	7	2	48	60	406	63	20	11	31	18	232	1411	1274	4325	NA	17477	1	474	621	NA	156	NA	12	2	3	NA	1	NA	1	2	1	NA	NA	NA	1	NA	NA	NA	5	4	NA	6	NA	3	3	NA	NA	1	2	1	NA	2	1	NA	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
"Corynebacterium aurimucosum"	"S"	169292	6521	1695	855	794	947	679	521	444	531	12	330	6521	15	NA	4	NA	24	3	NA	3	1	21	16	826	18	9	33	13	6	49	363	479	1821	NA	2553	NA	199	45	4	15	NA	6	2	2	NA	NA	1	NA	NA	NA	1	NA	NA	4	NA	NA	NA	NA	1	NA	2	NA	NA	1	NA	NA	6	NA	NA	1	NA	NA	2	"cellular&nbsp;organisms>Bacteria>Terrabacteria&nbsp;group>Actinomycetota>Actinomycetes>Mycobacteriales>Corynebacteriaceae>Corynebacterium"
